hrs1,sex,racecen1,mntlhlth,depress,wrkstat
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,SOME OTHER RACE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,FEMALE,WHITE,3,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
45,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,In school
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
44,FEMALE,BLACK OR AFRICAN AMERICAN,4,Yes,Working part time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,FILIPINO,.i:  Inapplicable,.i:  Inapplicable,In school
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
48,FEMALE,WHITE,0,No,Working full time
18,MALE,WHITE,0,No,Working part time
40,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,In school
40,FEMALE,BLACK OR AFRICAN AMERICAN,5,Yes,Working full time
40,MALE,OTHER ASIAN,0,No,Working full time
40,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
50,MALE,WHITE,3,No,Working full time
.i:  Inapplicable,MALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,MALE,WHITE,0,No,Working full time
50,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
40,FEMALE,WHITE,0,Yes,Working full time
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,OTHER ASIAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
40,FEMALE,WHITE,.d:  Do not Know/Cannot Choose,No,Working full time
60,MALE,WHITE,0,Yes,Working full time
47,MALE,WHITE,0,Yes,Working full time
40,MALE,WHITE,2,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
51,MALE,WHITE,10,No,Working full time
40,FEMALE,.n:  No answer,5,No,Working full time
40,FEMALE,VIETNAMESE,5,No,Working full time
40,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,KOREAN,.i:  Inapplicable,.i:  Inapplicable,Retired
24,FEMALE,WHITE,0,Yes,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
35,MALE,WHITE,10,No,Working full time
21,MALE,WHITE,0,No,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
20,FEMALE,WHITE,0,No,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
53,MALE,WHITE,0,No,Working full time
0,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,FEMALE,WHITE,1,No,Working full time
60,MALE,WHITE,0,Yes,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,In school
20,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working part time
38,MALE,SOME OTHER RACE,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
40,MALE,WHITE,0,No,Working full time
47,FEMALE,WHITE,15,Yes,Working full time
40,FEMALE,WHITE,-97,Yes,Working full time
40,.n:  No answer,WHITE,.i:  Inapplicable,.i:  Inapplicable,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,ASIAN INDIAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
84,FEMALE,HISPANIC,5,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
18,FEMALE,WHITE,0,No,Working part time
40,MALE,WHITE,.n:  No answer,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
60,FEMALE,WHITE,15,Yes,Working full time
80,FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,5,No,Working full time
16,FEMALE,WHITE,0,No,Working part time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
34,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
50,FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,0,Yes,Working full time
40,MALE,WHITE,4,Yes,Working full time
49,MALE,WHITE,0,No,Working full time
20,FEMALE,WHITE,5,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,AMERICAN INDIAN OR ALASKA NATIVE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
89+ hrs,MALE,WHITE,10,No,Working full time
40,FEMALE,WHITE,7,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,12,Yes,Working full time
40,MALE,WHITE,0,No,Working full time
40,MALE,WHITE,12,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,0,No,Working full time
40,FEMALE,WHITE,5,No,Working full time
35,FEMALE,WHITE,20,Yes,Working full time
40,MALE,WHITE,2,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
.i:  Inapplicable,FEMALE,WHITE,5,No,"With a job, but not at work because of temporary illness, vacation, strike"
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
26,MALE,WHITE,0,Yes,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,.n:  No answer,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Other
70,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
41,FEMALE,WHITE,3,Yes,Working full time
.i:  Inapplicable,FEMALE,ASIAN INDIAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
45,FEMALE,WHITE,2,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,MALE,OTHER ASIAN,.i:  Inapplicable,.i:  Inapplicable,Retired
43,FEMALE,WHITE,0,No,Working part time
40,FEMALE,HISPANIC,0,No,Working full time
40,MALE,WHITE,6,No,Working full time
54,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
40,FEMALE,CHINESE,2,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
55,FEMALE,BLACK OR AFRICAN AMERICAN,5,No,Working full time
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
32,MALE,BLACK OR AFRICAN AMERICAN,10,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
40,MALE,ASIAN INDIAN,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
55,MALE,WHITE,.d:  Do not Know/Cannot Choose,No,Working full time
39,FEMALE,WHITE,0,No,Working full time
50,MALE,WHITE,30,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,SOME OTHER RACE,.i:  Inapplicable,.i:  Inapplicable,In school
70,FEMALE,WHITE,0,No,Working full time
50,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,MALE,ASIAN INDIAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
30,MALE,WHITE,-97,.s:  Skipped on Web,Working full time
12,FEMALE,WHITE,2,No,Working part time
40,MALE,WHITE,30,No,Working full time
32,FEMALE,WHITE,0,No,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,0,No,Working full time
40,FEMALE,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
49,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
45,FEMALE,WHITE,1,Yes,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
30,FEMALE,WHITE,30,Yes,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
50,MALE,WHITE,30,Yes,Working full time
40,FEMALE,WHITE,6,Yes,Working full time
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,14,No,"With a job, but not at work because of temporary illness, vacation, strike"
30,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working part time
40,MALE,SOME OTHER RACE,0,No,Working full time
60,FEMALE,WHITE,0,Yes,Working full time
20,MALE,WHITE,0,No,Working part time
40,MALE,ASIAN INDIAN,0,No,Working full time
30,MALE,WHITE,1,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
40,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
57,MALE,WHITE,3,No,Working full time
4,FEMALE,WHITE,7,Yes,Working part time
.i:  Inapplicable,FEMALE,SOME OTHER RACE,.i:  Inapplicable,.i:  Inapplicable,Other
5,FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,0,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
24,MALE,WHITE,0,No,Working part time
40,FEMALE,WHITE,1,No,Working full time
40,FEMALE,BLACK OR AFRICAN AMERICAN,3,Yes,Working full time
40,MALE,SOME OTHER RACE,10,No,Working full time
60,MALE,OTHER ASIAN,10,No,Working full time
40,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
52,FEMALE,KOREAN,0,No,Working full time
60,FEMALE,WHITE,0,No,Working full time
40,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Working full time
65,MALE,WHITE,20,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
43,MALE,HISPANIC,10,No,Working full time
35,FEMALE,WHITE,2,No,Working full time
.i:  Inapplicable,MALE,SOME OTHER RACE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,FEMALE,WHITE,5,No,Working full time
6,FEMALE,WHITE,1,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
16,FEMALE,WHITE,0,No,Working part time
32,MALE,WHITE,14,Yes,Working part time
50,FEMALE,WHITE,0,No,Working part time
70,MALE,SOME OTHER RACE,3,No,Working full time
40,MALE,WHITE,1,No,Working full time
32,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working part time
40,FEMALE,BLACK OR AFRICAN AMERICAN,3,Yes,Working full time
42,MALE,HISPANIC,0,No,Working full time
16,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working part time
30,FEMALE,BLACK OR AFRICAN AMERICAN,10,Yes,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
35,MALE,SOME OTHER RACE,30,Yes,Working full time
36,MALE,BLACK OR AFRICAN AMERICAN,10,No,Working full time
0,MALE,WHITE,0,No,Working part time
74,MALE,WHITE,0,No,Working full time
56,FEMALE,HISPANIC,0,Yes,Working full time
70,MALE,OTHER ASIAN,0,No,Working full time
40,MALE,HISPANIC,0,No,Working full time
20,FEMALE,WHITE,5,No,Working part time
.i:  Inapplicable,FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,.i:  Inapplicable,.i:  Inapplicable,Retired
65,MALE,BLACK OR AFRICAN AMERICAN,15,No,Working full time
35,FEMALE,WHITE,0,No,Working full time
30,FEMALE,BLACK OR AFRICAN AMERICAN,10,No,Working part time
40,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Other
40,MALE,HISPANIC,30,Yes,Working full time
48,MALE,.i:  Inapplicable,4,No,Working full time
.i:  Inapplicable,FEMALE,KOREAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
45,FEMALE,WHITE,2,No,Working full time
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
40,FEMALE,BLACK OR AFRICAN AMERICAN,3,No,Working full time
14,MALE,WHITE,0,No,Working part time
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
50,FEMALE,WHITE,0,No,Working full time
30,.n:  No answer,.n:  No answer,30,Yes,Working part time
20,FEMALE,WHITE,.d:  Do not Know/Cannot Choose,Yes,Working part time
50,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
89+ hrs,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
40,FEMALE,BLACK OR AFRICAN AMERICAN,4,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
75,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
32,MALE,WHITE,0,No,Working full time
45,FEMALE,WHITE,2,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
50,MALE,BLACK OR AFRICAN AMERICAN,2,Yes,Working full time
50,FEMALE,WHITE,5,Yes,Working full time
20,FEMALE,WHITE,2,No,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
45,MALE,WHITE,2,No,Working full time
40,MALE,WHITE,0,Yes,Working full time
11,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working part time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
32,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working part time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
40,MALE,WHITE,5,No,Working full time
46,FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,30,Yes,Working full time
45,FEMALE,WHITE,7,Yes,Working full time
50,FEMALE,WHITE,1,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
40,FEMALE,WHITE,30,No,Working full time
40,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
58,FEMALE,BLACK OR AFRICAN AMERICAN,5,No,Working full time
44,FEMALE,BLACK OR AFRICAN AMERICAN,-97,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Other
40,MALE,WHITE,2,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,FEMALE,BLACK OR AFRICAN AMERICAN,20,No,Working full time
40,MALE,WHITE,0,No,Working full time
43,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
.i:  Inapplicable,FEMALE,SOME OTHER RACE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
72,MALE,WHITE,0,No,Working full time
40,FEMALE,SOME OTHER RACE,5,No,Working full time
44,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,MALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,In school
40,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
40,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Working full time
40,MALE,WHITE,0,No,Working full time
72,FEMALE,BLACK OR AFRICAN AMERICAN,20,No,Working full time
55,MALE,WHITE,2,No,Working full time
25,FEMALE,WHITE,0,No,Working part time
40,FEMALE,WHITE,2,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
55,FEMALE,WHITE,0,No,Working full time
40,FEMALE,BLACK OR AFRICAN AMERICAN,30,No,Working full time
50,FEMALE,WHITE,15,No,Working full time
40,MALE,WHITE,0,No,Working full time
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
60,MALE,WHITE,0,No,Working full time
28,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Working part time
25,MALE,SOME OTHER RACE,0,No,Working part time
20,FEMALE,WHITE,22,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,0,No,"With a job, but not at work because of temporary illness, vacation, strike"
40,FEMALE,WHITE,0,Yes,Working full time
80,MALE,WHITE,0,No,Working full time
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,FEMALE,WHITE,2,No,Working full time
60,MALE,HISPANIC,0,No,Working full time
8,FEMALE,WHITE,.n:  No answer,No,Working full time
40,FEMALE,WHITE,5,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
60,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,In school
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,Yes,Working full time
12,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working part time
50,MALE,WHITE,4,No,Working full time
70,MALE,WHITE,0,No,Working full time
50,MALE,ASIAN INDIAN,0,No,Working full time
40,MALE,KOREAN,0,No,Working full time
29,FEMALE,WHITE,10,No,Working part time
40,FEMALE,WHITE,5,No,Working full time
40,FEMALE,WHITE,10,Yes,Working full time
40,MALE,ASIAN INDIAN,0,No,Working full time
40,FEMALE,ASIAN INDIAN,0,No,Working full time
12,FEMALE,WHITE,1,No,Working part time
40,MALE,WHITE,2,Yes,Working full time
40,MALE,WHITE,15,Yes,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
20,FEMALE,BLACK OR AFRICAN AMERICAN,20,Yes,Working full time
40,MALE,BLACK OR AFRICAN AMERICAN,2,No,Working full time
20,FEMALE,WHITE,4,No,Working part time
20,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working part time
40,FEMALE,BLACK OR AFRICAN AMERICAN,5,No,Working full time
60,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
40,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
34,FEMALE,WHITE,0,No,Working part time
70,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
